age,transaction_amount,account_balance,num_transactions_today,is_foreign_transaction,transaction_hour,prev_fraud_flag,merchant_distance_km,merchant_risk_score,is_fraud
56,233.71,33481.1,12,0,10,0,150.64,0.1561,0
69,73.86,25165.37,17,0,21,0,35.45,0.0291,0
46,375.18,552.92,11,0,16,0,438.34,0.456,0
32,126.61,32882.07,10,0,1,0,498.48,0.2022,0
60,143.12,41699.52,11,0,13,0,478.12,0.1486,0
25,417.17,22335.7,5,0,8,0,90.0,0.4287,0
78,86.66,9528.17,17,0,15,0,495.21,0.4212,0
38,418.88,38429.58,16,0,17,0,127.58,0.2626,0
56,319.0,1050.97,2,0,8,0,466.56,0.267,0
75,479.09,25361.41,19,0,19,0,93.19,0.1813,0
36,265.58,2165.18,6,0,1,0,151.8,0.1642,0
40,17.27,43762.62,18,0,16,0,196.58,0.0114,0
28,37.11,49235.29,4,0,17,0,326.9,0.2176,0
28,144.21,49567.43,17,0,9,0,332.01,0.33,0
41,63.81,7821.34,14,0,4,0,485.03,0.2308,0
70,354.65,31385.57,5,0,4,0,207.96,0.1492,0
53,359.61,29492.35,8,0,17,0,285.95,0.3084,0
57,365.62,19976.59,10,0,3,0,390.33,0.318,0
41,182.94,40305.03,15,0,1,0,409.49,0.0598,0
20,219.27,39752.92,15,0,18,0,5.08,0.1003,0
39,323.11,42656.01,13,0,12,0,291.55,0.2273,0
70,22.36,39571.75,1,0,13,0,10.68,0.0377,0
19,4993.43,27927.4,18,0,9,0,114.24,0.7345,1
41,497.97,26810.97,9,1,19,0,398.79,0.2587,0
61,296.59,5838.96,16,0,17,0,114.99,0.1572,0
47,256.69,43153.58,14,0,7,0,352.1,0.3269,0
55,9386.94,42578.89,19,0,7,0,258.7,0.7102,1
19,304.13,43304.21,16,0,16,1,220.2,0.3061,0
77,203.47,1505.77,17,0,15,0,18.77,0.4339,0
38,380.49,12332.77,10,0,11,0,411.3,0.4593,0
50,158.58,21365.53,6,0,15,0,212.99,0.3266,0
29,127.25,13025.62,10,1,10,0,226.24,0.2282,0
75,1368.73,39694.99,10,0,6,0,286.02,0.7765,1
39,275.66,6368.82,1,0,19,0,344.06,0.4849,0
78,428.03,29349.07,16,0,16,0,339.23,0.3438,0
61,397.39,34563.08,13,0,14,0,413.88,0.4924,0
42,487.36,36873.88,7,0,18,0,224.5,0.185,0
66,284.76,30429.96,14,0,16,0,129.69,0.3867,0
44,425.3,23543.38,12,0,23,0,185.65,0.1079,0
76,398.79,10097.69,16,0,7,0,392.99,0.0891,0
59,140.5,13115.62,3,0,2,0,389.84,0.4035,0
45,171.39,3864.26,10,0,10,0,498.64,0.4478,0
77,156.42,22054.13,14,0,15,0,103.93,0.1326,0
33,248.82,935.89,2,0,14,0,418.7,0.386,0
32,192.72,12717.11,15,0,8,0,37.52,0.2032,0
79,5484.93,36662.97,17,0,6,0,255.42,0.9002,1
79,99.74,28384.21,13,0,11,0,482.68,0.4266,0
64,268.93,37497.83,17,0,21,0,97.5,0.2545,0
79,51.36,14156.44,9,0,0,0,480.8,0.153,0
68,140.69,33860.31,2,0,10,0,278.8,0.1296,0
61,211.25,37957.09,4,0,0,1,258.3,0.2187,0
72,435.65,32859.98,3,0,20,0,393.78,0.3797,0
69,123.75,22764.91,7,0,18,0,113.32,0.0212,0
74,207.25,9554.07,16,0,21,0,114.62,0.4061,0
20,451.21,40822.0,7,0,15,0,3.23,0.033,0
54,255.17,37827.56,8,0,10,0,234.13,0.231,0
68,382.92,37669.07,18,0,5,0,212.36,0.076,0
24,185.17,45128.6,15,0,12,0,396.81,0.1074,0
38,324.66,44032.25,2,1,22,0,50.96,0.0679,0
26,77.84,14445.81,14,0,7,0,122.74,0.4624,0
56,2137.45,2246.13,15,0,5,0,283.07,0.712,1
35,372.74,46510.09,18,0,16,0,174.19,0.1786,0
21,300.07,17983.02,12,0,2,0,391.25,0.1274,0
42,56.0,48710.66,3,0,11,0,314.57,0.1035,0
77,153.15,37182.43,9,0,11,0,43.25,0.3972,0
31,350.96,17300.92,19,0,5,0,48.61,0.2274,0
67,434.31,29369.91,13,0,9,0,322.17,0.022,0
75,211.69,46316.04,4,0,3,0,146.83,0.2487,1
26,343.45,6001.08,4,0,19,0,9.85,0.2078,0
43,73.77,35813.08,11,0,16,0,200.75,0.2832,0
70,42.73,15211.19,5,0,11,0,427.15,0.3092,0
19,233.38,5009.89,3,0,0,0,485.91,0.1428,0
37,452.19,18919.26,3,0,17,0,3.17,0.0778,0
45,307.43,13037.76,19,0,21,0,160.95,0.4052,0
64,287.47,2869.54,16,0,1,0,275.99,0.396,0
77,130.96,48638.0,3,0,1,0,328.25,0.0476,0
24,274.61,14900.03,12,0,22,0,306.04,0.1095,0
61,297.01,21909.77,14,1,6,0,242.6,0.1887,0
78,333.18,38223.09,1,0,9,0,194.93,0.249,0
25,140.4,2595.12,10,0,10,0,145.98,0.0136,0
64,447.49,27316.41,13,0,21,0,346.26,0.1267,0
52,44.55,39583.81,5,0,4,0,272.18,0.0276,0
31,490.57,42274.2,13,0,3,0,469.09,0.0949,0
34,284.62,35297.89,6,0,15,0,51.14,0.3814,0
53,403.1,19655.92,7,0,4,0,390.47,0.0425,0
67,440.3,28134.22,16,0,5,0,323.08,0.3296,0
57,126.79,9124.16,5,0,10,0,145.49,0.3695,0
21,157.28,30501.23,6,0,0,0,332.93,0.2536,0
19,382.27,5511.19,17,0,0,0,412.24,0.427,0
79,323.24,43516.87,2,0,9,0,64.37,0.4589,0
23,458.05,47835.51,15,0,3,0,183.12,0.0713,0
71,68.6,14437.52,16,1,9,0,485.13,0.4216,0
59,84.54,10494.71,3,0,4,0,333.38,0.0924,0
21,236.65,27270.15,15,0,6,0,377.79,0.0105,0
71,470.15,46958.79,18,0,10,0,372.8,0.3674,0
46,409.06,20783.04,8,0,10,0,314.3,0.1671,0
35,314.24,5155.28,9,0,18,0,376.87,0.205,0
43,43.21,46803.27,18,0,0,0,226.02,0.1938,0
61,358.45,10675.72,16,0,12,0,366.2,0.4578,0
51,226.66,31048.8,8,0,16,0,389.39,0.168,0
27,327.13,44554.53,19,0,7,0,327.5,0.4181,0
79,372.98,28970.26,8,1,5,0,372.2,0.0646,0
53,253.63,5061.64,4,0,16,0,327.74,0.132,0
31,155.95,31021.27,17,1,2,0,182.95,0.1236,0
48,4655.43,1387.66,14,0,7,0,222.64,0.9585,1
65,188.43,5579.48,4,0,10,0,264.66,0.0902,0
32,333.52,35793.18,1,0,23,0,302.99,0.1048,0
25,55.56,40520.74,9,0,23,0,238.87,0.4904,0
31,199.36,30072.16,8,0,8,0,404.52,0.4072,0
40,37.74,25577.87,1,0,1,0,112.88,0.1236,0
77,383.32,771.51,18,0,0,0,409.31,0.0275,0
74,8172.22,38370.01,18,0,21,0,174.3,0.8232,1
79,267.43,38850.22,6,0,17,0,148.22,0.013,0
57,7424.85,37669.16,19,0,0,0,337.71,0.996,1
38,159.07,28418.5,11,0,23,0,25.93,0.163,0
33,55.16,44426.88,6,0,2,0,154.58,0.3951,0
62,8840.02,40557.33,4,0,21,0,217.93,0.7012,1
35,450.87,10007.2,14,0,12,0,114.33,0.2293,0
64,497.72,5894.2,13,1,20,0,0.92,0.3704,0
70,246.99,988.88,3,0,18,0,67.99,0.295,0
41,136.68,10759.05,3,0,20,0,155.09,0.2038,0
43,268.36,36854.8,16,0,18,0,365.64,0.0565,0
42,403.28,23840.82,3,0,16,0,277.31,0.4189,0
77,357.06,34827.47,18,0,6,0,338.19,0.3719,0
77,24.18,40226.72,7,0,14,0,243.45,0.3845,1
77,7643.69,18225.4,17,1,5,0,218.31,0.8649,1
62,139.14,43880.19,1,0,8,0,59.38,0.1634,0
58,135.22,39161.4,7,0,4,0,294.15,0.416,0
46,5673.52,29927.86,17,0,23,0,75.33,0.7929,1
32,186.1,34520.89,5,1,1,0,483.41,0.3535,0
62,330.21,14641.61,16,0,3,0,300.22,0.1847,0
18,230.35,37462.67,17,1,15,0,386.56,0.31,0
42,332.98,7649.66,6,0,5,0,302.25,0.0195,0
24,190.38,8305.9,10,0,3,0,408.72,0.1422,0
26,137.42,31654.35,17,0,18,0,233.25,0.4963,0
41,204.11,11320.0,13,0,23,0,213.36,0.1823,0
18,376.45,21337.26,16,0,12,0,413.96,0.2074,0
61,404.3,27793.12,13,0,14,0,9.2,0.0683,0
25,141.84,34163.07,14,1,15,0,80.7,0.1763,0
41,27.91,42584.05,6,0,5,0,475.61,0.4835,0
28,127.34,26410.33,18,0,8,0,14.98,0.0191,0
68,145.13,26633.46,1,0,20,0,232.46,0.1296,0
34,50.05,37642.29,17,0,8,0,311.4,0.0547,0
25,340.38,41164.74,17,0,19,0,304.5,0.2535,0
52,337.17,5965.84,10,0,17,0,325.31,0.223,0
52,250.25,5983.45,19,0,7,0,176.19,0.0567,0
50,481.29,28218.95,19,0,0,0,90.99,0.3202,0
76,404.1,23334.14,18,0,7,0,135.83,0.3395,0
22,105.51,25120.88,11,0,22,0,294.33,0.0355,0
59,354.6,10245.32,2,0,5,0,121.37,0.0735,0
56,199.32,42989.3,6,0,8,0,482.08,0.1267,0
75,321.19,9016.89,7,0,11,0,38.12,0.31,0
